,positiveCount,NegativeCount,SentencePolarity,AltSentimentCount
0,3,0,0.32727272727272727,0
1,0,1,-0.3333333333333333,1
2,0,1,-1.0,0
3,2,2,0.07499999999999998,2
4,1,0,0.5,1
5,0,0,0.0,0
6,1,0,0.3,0
7,0,0,0.0,0
8,0,0,0.0,0
9,1,0,0.6,0
10,0,1,-0.09375,1
11,1,1,0.033333333333333354,2
12,0,0,0.0,0
13,0,0,0.0,0
14,0,2,-0.5062499999999999,0
15,1,0,0.4,1
16,0,0,0.0,0
17,1,0,0.8,0
18,0,0,0.0,0
19,0,0,0.0,0
20,2,0,0.4666666666666666,0
21,0,0,0.0,0
22,0,0,0.0,0
23,1,1,0.0,1
24,1,0,0.4375,1
25,0,0,0.0,0
26,1,1,-0.09523809523809523,1
27,0,0,0.0,0
28,0,0,0.0,0
29,0,0,0.0,0
30,0,1,-0.3888888888888889,0
31,1,0,0.16,1
32,0,0,0.0,0
33,0,0,0.0,0
34,3,2,0.05,3
35,0,0,0.0,0
36,0,0,0.0,0
37,0,1,-0.1,0
38,1,0,0.3,1
39,1,0,0.25,0
40,2,0,0.6604166666666667,0
41,1,1,-0.25,2
42,1,0,0.6,0
43,0,0,0.0,0
44,2,0,0.06666666666666665,0
45,1,1,0.23125,2
46,0,0,0.0,0
47,0,1,-0.3333333333333333,1
48,2,0,0.75,1
49,0,0,0.0,0
50,1,3,-0.2101010101010101,2
51,1,0,0.8,0
52,1,0,0.125,0
53,3,0,0.1416666666666667,0
54,0,1,-0.6,1
55,1,0,0.8,1
56,1,0,0.5,0
57,0,0,0.0,0
58,0,0,0.0,0
59,1,0,0.8,0
60,0,0,0.0,0
61,1,0,0.03333333333333333,0
62,1,0,0.2,0
63,2,1,0.15,1
64,0,0,0.0,0
65,1,0,0.5,1
66,0,0,0.0,0
67,0,0,0.25,0
68,0,0,0.0,0
69,1,0,1.0,0
70,2,0,0.25,0
71,0,0,0.0,0
72,1,0,0.5,0
73,0,1,-0.3,1
74,1,0,0.4,1
75,2,4,-0.06458333333333327,4
76,1,0,0.5,0
77,1,1,0.25,2
78,1,0,0.625,0
79,0,0,0.0,0
80,1,0,1.0,0
81,1,0,1.0,0
82,1,0,0.6,0
83,1,0,1.0,0
84,1,0,0.8,0
85,0,0,0.75,0
86,0,0,0.0,0
87,0,0,0.0,0
88,1,0,1.0,0
89,0,0,0.0,0
90,0,1,-0.4,1
91,1,0,0.8,1
92,0,0,0.0,0
93,1,0,0.8,0
94,3,0,0.41111111111111115,0
95,2,0,0.55,0
96,0,0,0.0,0
97,2,2,0.024999999999999994,4
98,0,1,-0.16666666666666666,1
99,1,2,-0.0472222222222222,2
100,1,0,0.5,1
101,1,0,0.2857142857142857,0
102,0,0,0.0,0
103,1,0,0.21428571428571427,0
104,1,1,0.04999999999999999,2
105,0,0,0.0,0
106,1,0,0.5,0
107,1,1,0.3333333333333333,2
108,0,0,0.0,0
109,3,1,0.13333333333333333,1
110,1,0,0.3,1
111,1,0,0.8,0
112,0,0,0.0,0
113,1,1,-0.033333333333333326,1
114,1,0,0.0,1
115,1,0,0.4,0
116,1,0,0.3,0
117,3,0,0.42638888888888893,0
118,2,0,0.525,0
119,2,0,0.31666666666666665,0
120,1,0,1.0,0
121,0,0,0.0,0
122,1,1,0.09583333333333333,1
123,0,1,-0.0875,0
124,0,0,0.0,0
125,0,0,0.0,0
126,1,0,1.0,1
127,0,1,-0.05,1
128,0,1,-0.05,0
129,1,0,1.0,1
130,1,0,0.7,0
131,0,0,0.0,0
132,1,0,0.1,0
133,1,2,-0.21249999999999997,1
134,0,0,0.0,0
135,1,0,0.19999999999999998,1
136,0,0,0.5,0
137,0,0,0.0,0
138,1,1,0.15000000000000002,2
139,3,0,0.45,0
140,2,1,-0.09999999999999999,1
141,1,0,0.09523809523809523,1
142,1,0,0.35,0
143,2,0,0.5,0
144,2,0,0.45,0
145,0,1,-0.5,1
146,0,0,0.0,0
147,0,0,0.0,0
148,2,0,0.30833333333333335,1
149,0,0,0.0,0
150,1,0,0.1,0
151,1,0,0.1625,0
152,0,0,0.0,0
153,0,0,0.0,0
154,0,1,-0.15,1
155,0,3,-0.12000000000000002,0
156,3,2,0.00416666666666667,4
157,0,0,0.0,0
158,0,1,-0.1,0
159,0,0,0.0,0
160,0,2,-0.19270833333333334,0
161,3,0,0.5,1
162,1,0,0.5,0
163,2,0,0.3333333333333333,0
164,0,0,0.0,0
165,1,0,-0.15,0
166,0,1,-0.15,1
167,0,0,0.0,0
168,1,0,0.25,1
169,0,0,0.0,0
170,1,0,0.0,0
171,2,0,0.16785714285714284,0
172,0,0,0.0,0
173,0,0,0.0,0
174,1,0,0.625,0
175,0,0,0.0,0
176,1,0,0.14285714285714285,0
177,0,1,-0.5,1
178,1,1,0.25,1
179,2,0,0.5,0
180,1,0,0.475,0
181,0,0,0.0,0
182,1,0,0.5,0
183,2,0,0.425,0
184,0,0,0.0,0
185,1,0,0.2857142857142857,0
186,3,0,0.44999999999999996,0
187,0,0,0.0,0
188,1,0,0.2,0
189,0,1,-0.9,1
190,4,0,0.4,1
191,0,0,0.0,0
192,1,1,-0.3,2
193,3,0,0.1875,0
194,1,0,0.2857142857142857,0
195,0,0,0.0,0
196,1,0,0.06666666666666667,0
197,0,0,0.0,0
198,0,0,0.0,0
199,0,0,0.0,0
200,2,0,0.42500000000000004,0
201,0,0,0.0,0
202,1,1,-0.06666666666666667,1
203,0,0,0.0,0
204,2,0,0.39285714285714285,1
205,3,0,0.5,0
206,0,0,0.0,0
207,2,0,0.5,0
208,0,0,0.0,0
209,1,0,0.13636363636363635,0
210,0,0,0.0,0
211,0,0,0.0,0
212,0,0,0.0,0
213,0,0,0.0,0
214,0,0,0.0,0
215,1,0,0.425,0
216,1,0,0.8,0
217,1,0,0.13636363636363635,0
218,1,0,0.125,0
219,3,0,0.2916666666666667,0
220,0,0,0.0,0
221,1,0,0.8,0
222,2,0,0.31212121212121213,0
223,1,0,0.6000000000000001,0
224,1,1,-0.07500000000000001,1
225,0,1,0.0,0
226,0,0,0.0,0
227,1,0,0.1,1
228,1,0,0.25,0
229,5,0,0.26774891774891774,0
230,2,0,0.55,0
231,0,0,0.0,0
232,2,0,0.375,0
233,1,0,0.4,0
234,1,0,0.4,0
235,1,0,0.4,0
236,3,0,0.26666666666666666,0
237,2,0,0.2,0
238,1,0,0.25,0
239,1,0,0.5,0
240,1,2,-0.21249999999999997,1
241,3,0,0.058666666666666666,1
242,0,0,0.0,0
243,1,0,0.06666666666666667,0
244,1,1,-0.06666666666666665,1
245,1,0,0.4,1
246,0,0,0.0,0
247,1,0,0.5,0
248,0,0,0.0,0
249,1,0,0.625,0
250,0,1,-0.5696614583333335,1
251,1,0,0.1,1
252,0,0,0.0,0
253,1,0,0.5,0
254,1,0,0.2,0
255,1,0,0.2,0
256,0,0,0.0,0
